X,Y,Curvatura
-6.820665383344030053e-01,8.983464353483330278e-01,0.000000000000000000e+00
-6.485896026629163202e-01,8.978023318048294898e-01,7.680562895539289059e-02
-6.142862948833590631e-01,8.968587090427031505e-01,1.478306199240260188e-01
-5.792506504425125602e-01,8.954613949645140458e-01,2.153868296306509222e-01
-5.435767047871565838e-01,8.935562174728221008e-01,2.810338456919705408e-01
-5.073584933640715722e-01,8.910890044701863522e-01,3.458481065509781960e-01
-4.706900516200381857e-01,8.880055838591669470e-01,4.105816337265526528e-01
-4.336654150018364740e-01,8.842517835423233663e-01,4.757591699547090158e-01
-3.963786189562469309e-01,8.797734314222153129e-01,5.417390497533769445e-01
-3.589236989300502723e-01,8.745163554014027119e-01,6.087516696457608845e-01
-3.213946903700264923e-01,8.684263833824443779e-01,6.769234867087688956e-01
-2.838856287229560293e-01,8.614493432679009022e-01,7.462912439198110537e-01
-2.464905494356196547e-01,8.535310629603315435e-01,8.168092971591327522e-01
-2.093034879547971128e-01,8.446173703622961160e-01,8.883518668563780141e-01
-1.724184797272694802e-01,8.346540933763539893e-01,9.607114356771698782e-01
-1.359295601998167791e-01,8.235870599050654217e-01,1.033594196490887240e+00
-9.993076481921936427e-02,8.113620978509894499e-01,1.106613337349040771e+00
-6.451612903225797946e-02,7.979250351166859989e-01,1.179280990607884272e+00
-2.977968828571260843e-02,7.832216996047147717e-01,1.250999850920480494e+00
4.184521973636223802e-03,7.671979192176352491e-01,1.321055765603675214e+00
3.728246629900786036e-02,7.497995218580073562e-01,1.388612993867050616e+00
6.942010924362232438e-02,7.309723354283906849e-01,1.452714263251814408e+00
1.005034153606990110e-01,7.106621878313448271e-01,1.512288120976752026e+00
1.304383492034575376e-01,6.888149069694292637e-01,1.566166225247693777e+00
1.591308753251173824e-01,6.653763207452043638e-01,1.613112935280528015e+00
1.864869582788983571e-01,6.402922570612287201e-01,1.651868615261491202e+00
2.124125626180200233e-01,6.135085438200627017e-01,1.681206318681644607e+00
2.368136528957018316e-01,5.849710089242661226e-01,1.699999019677275180e+00
2.595961936651636215e-01,5.546254802763982417e-01,1.707291683478114885e+00
2.806661494796248713e-01,5.224177857790186508e-01,1.702369943241213601e+00
2.999294848923051426e-01,4.882937533346874415e-01,1.684815891882975647e+00
